NFLID,Height,Weight,DOB,College
00-0032937,Max McCaffrey,200,5/17/1994,Duke
00-0024238,Davin Joseph,313,11/22/1983,Oklahoma
00-0024239,Johnathan Joseph,190,4/16/1984,South Carolina
00-0024234,Antonio Cromartie,210,4/15/1984,Florida State
00-0024235,Tamba Hali,275,11/3/1983,Penn State
00-0024236,Laurence Maroney,220,2/5/1985,Minnesota
00-0024237,Manny Lawson,240,7/3/1984,North Carolina State
00-0024230,Tye Hill,185,6/3/1982,Clemson
00-0024231,Jason Allen,200,7/5/1983,Tennessee
00-0024232,Chad Greenway,237,1/12/1983,Iowa
00-0024233,Bobby Carpenter,249,8/1/1983,Ohio State
00-0027970,Derek Sherrod,321,4/23/1989,Mississippi State
00-0022684,Donnie Jones,221,7/5/1980,LSU
00-0032933,Antonio Hamilton,190,1/24/1993,South Carolina State
00-0023880,Mark LeVoir,310,7/29/1982,Notre Dame
00-0021956,Asante Samuel,185,1/6/1981,Central Florida
00-0024359,Jerome Harrison,205,2/26/1983,Washington State
00-0024358,Marques Hagans,205,12/29/1982,Virginia
00-0021952,Todd Johnson,200,12/18/1978,Florida
00-0030109,Mike Catapano,270,8/17/1990,Princeton
00-0021951,Bryan Scott,220,4/13/1981,Penn State
00-0030107,Theo Riddick,201,5/4/1991,Notre Dame
00-0024352,Pat Watkins,220,12/18/1982,Florida State
00-0030105,Alan Bonner,191,11/5/1990,Jacksonville State
00-0024350,Ryan O'Callaghan,330,7/19/1983,California
00-0030103,John Boyett,203,12/20/1989,Oregon
00-0024356,Brandon Johnson,245,4/5/1983,Louisville
00-0024355,Jonathan Scott,318,1/10/1983,Texas
00-0030100,Nick Moody,245,1/29/1990,Florida State
00-0022975,Andrew Economos,250,6/24/1982,Georgia Tech
00-0031304,Will Clarke,275,5/4/1991,West Virginia
00-0022979,Dan Connolly,305,9/2/1982,Southeast Missouri State
00-0031305,Brandon Thomas,317,2/18/1991,Clemson
00-0010944,Mike McKenzie,194,4/26/1976,Memphis
00-0006799,Chris Hanson,202,10/25/1976,Marshall
00-0028090,T.J. Yates,217,5/28/1987,North Carolina
00-0028091,Jeremy Kerley,188,11/8/1988,Texas Christian
00-0026294,Kroy Biermann,255,9/12/1985,Montana
00-0031546,Trae Waynes,190,7/25/1992,Michigan State
00-0019733,Nick Harper,182,9/10/1974,Fort Valley State
00-0028093,Niles Paul,242,8/9/1989,Nebraska
00-0028096,Jermale Hines,222,11/11/1987,Ohio State
00-0028469,Cameron Graham,244,2/6/1989,Louisville
00-0028468,Chad Cunningham,210,1/12/1988,Tennessee
00-0028465,Monte Simmons,248,1/29/1989,Kent State
00-0028464,Van Stumon,266,11/15/1987,Arkansas
00-0028466,Andrew Lewis,303,2/18/1987,Syracuse
00-0028460,Pete Fleps,236,10/31/1986,Southern Methodist
00-0028463,Damario Ambrose,270,9/9/1989,Arkansas
00-0029332,James Brown,306,11/30/1988,Troy
00-0029333,Ronnie Cameron,295,8/15/1989,Old Dominion
00-0029330,Matt Szymanski,196,8/13/1988,Southern Methodist
00-0029331,Alvester Alexander,213,10/17/1990,Wyoming
00-0029336,Brittan Golden,186,7/20/1988,West Texas A&M
00-0029489,Eddie Elder,185,2/14/1989,Arizona State
00-0029335,Terriun Crump,223,7/23/1989,Western Illinois
00-0029338,Jeremy Jones,197,7/18/1989,Wayne State (Mich.)
00-0029339,Chris Summers,215,7/10/1989,Liberty
00-0029480,Nick Hixson,185,1/15/1989,Hillsdale
00-0024824,Matt Gutierrez,230,6/9/1984,Idaho State
00-0029482,Adonis Thomas,185,2/25/1989,Toledo
00-0025480,Garrett Wolfe,185,8/17/1984,Northern Illinois
00-0025482,Dante Hughes,186,8/21/1985,California
00-0025483,Anthony Waters,238,7/25/1984,Clemson
00-0025484,Ray McDonald,290,9/2/1984,Florida
00-0025485,Quinn Pitcock,299,9/14/1983,Ohio State
00-0025486,Johnnie Lee Higgins,185,9/8/1983,Texas-El Paso
00-0025487,Michael Bush,245,6/16/1984,Louisville
00-0025488,Adam Podlesh,200,8/11/1983,Maryland
00-0025489,Brian Robison,259,4/27/1983,Texas
00-0028683,Jeff Wolfert,185,10/22/1985,Missouri
00-0028682,Jeremy McGee,185,7/23/1988,Mississippi
00-0028685,Jabari Fletcher,258,6/23/1989,Appalachian State
00-0028686,L.J. Castile,223,9/7/1988,Delta State
00-0029154,Nick Martinez,308,2/16/1989,Oklahoma State
00-0029155,Mike Brown,200,2/9/1989,Liberty
00-0029150,Fred Koloto,297,5/9/1989,San Jose State
00-0029151,Matt Simms,210,9/27/1988,Tennessee
00-0029158,Donovan Richard,215,8/16/1989,South Carolina State
00-0029159,Jermaine Kearse,209,2/6/1990,Washington
00-0016624,Jeremiah Trotter,262,1/20/1977,Stephen F. Austin St.
00-0026689,Orion Martin,260,9/2/1985,Virginia Tech
00-0026686,Anthony Kimble,215,4/9/1986,Stanford
00-0026685,Louis Ellis,320,10/7/1985,Shaw
00-0026683,Ryan Baker,302,11/25/1984,Purdue
00-0026680,Michael Desormeaux,215,9/29/1985,Louisiana-Lafayette
00-0030488,Lavar Edwards,271,4/29/1990,LSU
00-0030489,Khalid Wooten,212,2/19/1990,Nevada
00-0026467,Brandon Renkart,245,12/29/1984,Rutgers
00-0021306,Adrian Peterson,212,7/1/1979,Georgia Southern
00-0026465,Anthony Armstrong,185,3/29/1983,West Texas A&M
00-0021304,John Gilmore,257,9/21/1979,Penn State
00-0030482,Colby Prince,257,3/9/1989,Oregon State
00-0030486,Brian Schwenke,310,3/22/1991,California
00-0030487,Tharold Simon,202,3/6/1991,LSU
00-0030484,Jamar Taylor,192,9/29/1990,Boise State
00-0030485,Eddie Lacy,250,6/2/1990,Alabama
00-0027224,Jon Weeks,250,2/17/1986,Baylor
00-0027220,Naaman Roosevelt,200,12/24/1987,Buffalo
00-0027229,Justin Thornton,213,7/12/1983,Kansas
00-0033612,Sojourn Shelton,177,12/25/1994,Wisconsin
00-0033613,James Summers,210,6/12/1994,East Carolina
00-0033611,Ricky Seals-Jones,243,3/15/1995,Texas A&M
00-0033616,Jordan Johnson,220,5/21/1994,Buffalo
00-0033617,Marquavius Lewis,270,10/11/1992,South Carolina
00-0033614,Pasoni Tasini,307,5/31/1993,Utah
00-0033618,Greg Pyke,325,6/4/1993,Georgia
00-0033619,Austin Rehkow,213,3/17/1995,Idaho
00-0022763,Dexter Wynn,175,2/25/1981,Colorado State
00-0022764,Charlie Anderson,250,12/8/1981,Mississippi
00-0022766,Patrick Crayton,205,4/7/1979,Northwestern Oklahoma State
00-0022767,Jacques Reeves,188,10/8/1982,Purdue
00-0028892,Gerell Robinson,248,10/13/1989,Arizona State
00-0031895,Ronald Martin,220,2/26/1993,LSU
00-0031893,Jesse Davis,321,9/15/1991,Idaho
00-0010711,Todd McClure,296,2/16/1977,LSU
00-0031193,Dan McCullers-Sanders,352,8/11/1992,Tennessee
00-0031192,Jemea Thomas,195,4/7/1990,Georgia Tech
00-0031191,Luke Bowanko,300,6/13/1991,Virginia
00-0031190,Tyler Gaffney,220,4/20/1991,Stanford
00-0031197,David Foucault,320,1/7/1989,Unknown
00-0031196,Tyler Starr,250,1/25/1991,South Dakota
00-0031195,Yawin Smallwood,236,12/25/1991,Connecticut
00-0031194,Rob Blanchflower,256,6/8/1990,Massachusetts
00-0031199,Ross Madison,200,3/5/1991,Toledo
00-0026848,Spenser Smith,240,12/15/1986,Eastern Michigan
00-0010577,Kevin Mawae,289,1/23/1971,LSU
00-0031447,Jibreel Black,278,10/8/1991,Michigan
00-0031446,Damond Smith,184,7/8/1991,South Alabama
00-0031441,Anthony Morales,230,8/27/1990,Weber State
00-0031440,Morrell Presley,225,4/26/1991,California (PA)
00-0031443,Kevin Danser,290,5/1/1990,Stanford
00-0031442,Taylor Lewan,309,7/22/1991,Michigan
00-0031448,Marrio Norman,180,8/10/1986,Coastal Carolina
00-0032255,A.J. Cann,315,10/3/1991,South Carolina
00-0032257,Duke Johnson,210,9/23/1993,Miami (Fla.)
00-0032256,Clive Walford,250,10/1/1991,Miami (Fla.)
00-0032251,Damarious Randall,196,8/29/1992,Arizona State
00-0032250,Kasen Williams,219,12/5/1992,Washington
00-0032259,Ereck Flowers,325,4/25/1994,Miami (Fla.)
00-0031500,Efe Obada,265,4/13/1992,No College
00-0031502,Jordan Berry,195,3/18/1991,Eastern Kentucky
00-0031503,Jameis Winston,231,1/6/1994,Florida State
00-0031504,Dres Anderson,190,7/20/1992,Utah
00-0031509,Marcus Rush,251,6/19/1991,Michigan State
00-0021542,Jacques Cesaire,295,8/30/1980,Southern Connecticut State
00-0021544,Stephen Cooper,235,6/19/1979,Maine
00-0021547,Antonio Gates,255,6/18/1980,Kent State
00-0021546,Kris Dielman,320,2/3/1981,Indiana
00-0027535,Marquis Hamilton,222,6/18/1987,Iowa State
00-0028854,Jerrell Harris,242,7/8/1989,Alabama
00-0028855,Max Gruder,230,3/15/1989,Pittsburgh
00-0028856,Adam Nissley,267,5/6/1988,Central Florida
00-0028850,Dawson Zimmerman,205,11/15/1989,Clemson
00-0028852,James Rodgers,188,12/20/1988,Oregon State
00-0028853,Marcus Jackson,195,5/20/1989,Lamar
00-0028858,Marty Markett,162,11/7/1989,South Carolina
00-0028859,Rico Council,255,12/6/1988,Tennessee State
00-0030718,Quron Pratt,195,4/25/1991,Rutgers
00-0030719,Carey Spear,190,1/5/1992,Vanderbilt
00-0030713,Kevin Graf,309,6/17/1991,USC
00-0030710,Trey Burton,235,10/29/1991,Florida
00-0030711,David Fluellen,224,1/29/1992,Toledo
00-0030716,Daytawion Lowe,196,3/23/1991,Oklahoma State
00-0030717,Frances Mays,291,12/1/1990,Florida A&M
00-0030714,Donald Hawkins,310,4/22/1992,Texas
00-0030715,Wade Keliikipi,303,7/21/1991,Oregon
00-0028148,Andrew Jackson,299,10/18/1988,Fresno State
00-0028149,Bruce Miller,248,8/6/1987,Central Florida
00-0022169,Antonio Garay,320,11/30/1979,Boston College
00-0028142,Virgil Green,255,8/3/1988,Nevada
00-0028143,Lazarius Levingston,292,11/16/1987,LSU
00-0028140,Jacquian Williams,231,7/20/1988,South Florida
00-0022165,Dallas Clark,252,6/12/1979,Iowa
00-0028146,Greg McElroy,225,5/10/1988,Alabama
00-0028144,Justin Rogers,181,1/16/1988,Richmond
00-0028145,Korey Lindsey,194,2/3/1989,Southern Illinois
00-0023005,Adrian Awasom,270,10/25/1983,North Texas
00-0021159,Jerramy Stevens,260,11/13/1979,Washington
00-0021156,Charles Grant,285,9/3/1978,Georgia
00-0021157,Lito Sheppard,194,4/8/1981,Florida
00-0021154,Daniel Graham,257,11/16/1978,Colorado
00-0021152,Ashley Lelie,195,2/16/1980,Hawaii
00-0021153,Javon Walker,215,10/14/1978,Florida State
00-0021151,Phillip Buchanon,190,9/19/1980,Miami (Fla.)
00-0030671,Isaiah Burse,187,12/8/1991,Fresno State
00-0030670,Bennie Fowler,212,6/10/1991,Michigan State
00-0030673,Bryn Renner,225,1/22/1990,North Carolina
00-0030904,Jimmy Gaines,240,5/11/1993,Miami (Fla.)
00-0030675,Lou Young,205,10/9/1991,Georgia Tech
00-0030677,Kenny Anunike,275,5/22/1990,Duke
00-0030676,Jordan Sullen,200,6/25/1990,Tulane
00-0030678,Greg Latta,260,12/27/1991,Purdue
00-0030908,Kenny Ladler,207,6/23/1992,Vanderbilt
00-0022126,L.J. Smith,245,5/13/1980,Rutgers
00-0027194,Leroy Banks,243,12/12/1987,Southern Mississippi
00-0019560,Deon Grant,215,3/14/1979,Tennessee
00-0028837,Jerome Messam,250,4/2/1985,Graceland
00-0033366,Quincy Adeboyejo,197,5/26/1995,Mississippi
00-0033367,C.J. Board,178,12/12/1993,Tennessee-Chattanooga
00-0026093,Anthony Toribio,315,3/1/1985,Carson-Newman
00-0026090,Lamar Divens,340,11/12/1985,Tennessee State
00-0030949,Chad Young,240,7/29/1991,San Diego State
00-0026095,Kevin Brown,303,7/8/1985,UCLA
00-0026723,Chris Pressley,260,8/8/1986,Wisconsin
00-0029819,John Sullen,340,12/31/1990,Auburn
00-0029818,Troy Stoudermire,199,7/1/1990,Minnesota
00-0029817,Roy Roundtree,180,3/7/1989,Michigan
00-0029815,Jayson DiManche,244,9/22/1990,Southern Illinois
00-0029812,Larry Black,315,12/1/1989,Indiana
00-0032413,Ronald Blair,270,1/21/1993,Appalachian State
00-0032412,Dean Lowry,296,6/9/1994,Northwestern
00-0032411,Kenneth Dixon,223,1/21/1994,Louisiana Tech
00-0032410,Rashard Robinson,177,7/23/1995,LSU
00-0027419,Chris Gronkowski,245,12/26/1986,Arizona
00-0032416,Quinton Jefferson,291,3/31/1993,Maryland
00-0032415,Matt Judon,263,8/15/1992,Grand Valley State
00-0032414,John Theus,303,1/19/1994,Georgia
00-0027415,Will Barker,310,7/3/1987,Virginia
00-0027414,Junior Aumavae,310,4/29/1986,Minnesota State-Mankato
00-0027417,Phil Costa,302,7/11/1987,Maryland
00-0027416,Barry Church,218,2/11/1988,Toledo
00-0027411,Alex Parsons,301,9/14/1987,USC
00-0027410,Chane Moline,250,7/23/1987,UCLA
00-0027413,Delbert Alvarado,205,1/3/1989,South Florida
00-0027412,Manase Tonga,260,2/28/1984,Brigham Young
00-0030943,Jake Snyder,275,4/7/1991,Virginia
00-0033188,Alex Bazzie,240,8/5/1990,Marshall
00-0025675,David Holloway,234,12/4/1983,Maryland
00-0025672,Tim Castille,238,5/29/1984,Alabama
00-0025927,Jason Banks,296,5/8/1985,Grambling State
00-0025925,Fernando Velasco,310,2/22/1985,Georgia
00-0027197,Justin Drescher,235,1/1/1988,Colorado
00-0025922,Rafael Little,195,9/23/1986,Kentucky
00-0025920,Jerrell Freeman,236,5/1/1986,Mary Hardin-Baylor
00-0026324,Mike Gibson,305,11/18/1985,California
00-0026325,Chris Harrington,260,1/19/1985,Texas A&M;
00-0026326,Colt Brennan,215,8/16/1983,Hawaii
00-0026327,John Sullivan,310,8/8/1985,Notre Dame
00-0026320,Kareem Moore,217,8/13/1984,Nicholls State
00-0026321,Nick Hayden,303,2/4/1986,Wisconsin
00-0026323,Spencer Larsen,245,3/4/1984,Arizona
00-0023781,Antwon Burton,325,7/11/1983,Temple
00-0023782,Jason Carter,205,9/15/1982,Texas A&M;
00-0023784,Greg Estandia,266,11/18/1982,Nevada-Las Vegas
00-0032739,Wendall Williams,175,9/18/1990,Cumberland College
00-0032736,Arturo Uzdavinis,305,11/2/1992,Tulane
00-0032737,Soma Vainuku,255,5/28/1992,USC
00-0032734,Brennan Scarlett,265,7/31/1993,Stanford
00-0032735,Duke Thomas,192,5/21/1994,Texas
00-0032732,Richard Mullaney,204,2/23/1993,Alabama
00-0032733,Shakeel Rashad,235,3/17/1994,North Carolina
00-0032730,Eric Lee,260,8/6/1994,South Florida
00-0031290,Marquis Flowers,250,2/16/1992,Arizona
00-0031291,James Wright,203,12/31/1991,LSU
00-0031292,Lavelle Westbrooks,185,1/12/1992,Georgia Southern
00-0031293,Jordan Harris,215,12/8/1991,Bryant University
00-0031294,Craig Watts,320,6/20/1991,West Texas A&M
00-0031295,L.T. Tuipulotu,305,8/3/1990,Utah
00-0031296,C.J. Mosley,250,6/19/1992,Alabama
00-0031297,Dee Ford,252,3/19/1991,Auburn
00-0031298,Jimmie Ward,193,7/18/1991,Northern Illinois
00-0031299,Jordan Matthews,212,7/16/1992,Vanderbilt
00-0032080,Titus Davis,191,1/3/1993,Central Michigan
00-0032081,Nick Dzubnar,240,8/15/1991,Cal Poly-S.L.O.
00-0032084,Curtis Grant,249,12/28/1992,Ohio State
00-0032085,Brock Hekking,250,10/6/1991,Nevada
00-0032086,Gordon Hill,210,2/25/1993,Sacred Heart
00-0032087,Josh Lambo,215,11/19/1990,Texas A&M
00-0032089,Brian Parker,265,5/30/1992,Albany
00-0028208,John Clay,233,1/4/1988,Wisconsin
00-0014063,Oliver Ross,315,9/27/1974,Iowa State
00-0028202,Shaun Draughn,214,12/7/1987,North Carolina
00-0024256,Deuce Lutui,338,5/5/1983,USC
00-0024257,Danieal Manning,212,8/9/1982,Abilene Christian
00-0024254,Winston Justice,317,9/14/1984,USC
00-0024253,Thomas Howard,245,7/14/1983,Texas-El Paso
00-0024250,Rocky McIntosh,242,11/15/1982,Miami (Fla.)
00-0024251,Chad Jackson,210,3/6/1985,Florida
00-0024258,Roman Harper,205,12/11/1982,Alabama
00-0024259,Sinorice Moss,185,12/28/1983,Miami (Fla.)
00-0033429,Sefo Liufau,232,10/19/1994,Colorado
00-0033428,Korren Kirven,315,12/10/1994,Alabama
00-0033421,Antony Auclair,256,5/28/1993,Laval University
00-0033420,Donald Payne,226,7/12/1994,Stetson
00-0033423,Richie Brown,234,4/15/1994,Mississippi State
00-0033425,Maurice Fleming,202,12/6/1993,West Virginia
00-0033424,Riley Bullough,228,11/23/1993,Michigan State
00-0033427,Alex Gray,219,9/15/1993,Appalachian State
00-0033426,Cole Gardner,301,11/11/1993,Eastern Michigan
00-0021978,Seth Wand,330,8/6/1979,Northwest Missouri State
00-0021970,Kawika Mitchell,253,10/10/1979,South Florida
00-0021974,Jeremy Bridges,318,4/19/1980,Southern Mississippi
00-0021976,Larry Johnson,235,11/19/1979,Penn State
00-0021977,Osi Umenyiora,255,11/16/1981,Troy
00-0024339,Barry Cofield,303,3/19/1984,Northwestern
00-0024338,Domata Peko,325,11/27/1984,Michigan State
00-0024335,Jamar Williams,237,6/14/1984,Arizona State
00-0024334,Brandon Marshall,232,3/23/1984,Central Florida
00-0024331,Stephen Tulloch,245,1/1/1985,North Carolina State
00-0024330,Will Blackmon,212,10/27/1984,Boston College
00-0024333,Stephen Gostkowski,215,1/28/1984,Memphis
00-0024332,Leon Washington,192,8/29/1982,Florida State
00-0022954,Ben Graham,236,11/2/1973,Deakin (Australia)
00-0006800,Jason Hanson,190,6/17/1970,Washington State
00-0033455,Anthony Firkser,241,2/19/1995,Harvard
00-0033289,Corn Elder,185,10/9/1994,Miami (Fla.)
00-0033288,George Kittle,250,10/9/1993,Iowa
00-0033938,Kendell Beckwith,243,12/2/1994,LSU
00-0033937,Amara Darboh,219,2/1/1994,Michigan
00-0033935,Trey Hendrickson,270,12/5/1994,Florida Atlantic
00-0033286,Joe Williams,205,9/4/1993,Utah
00-0033281,Marlon Humphrey,197,7/8/1996,Alabama
00-0019710,Hank Poteat,195,8/31/1977,Pittsburgh
00-0028028,Curtis Marsh,197,3/1/1988,Utah State
00-0033283,Tyus Bowser,240,5/23/1995,Houston
00-0033930,Cameron Sutton,188,2/27/1995,Tennessee
00-0028331,LaMarcus Thompson,228,9/8/1987,Tennessee
00-0028330,Philip Sylvester,194,11/1/1988,Florida A&M;
00-0028333,Suaesi Tuimaunei,205,2/11/1988,Oregon State
00-0028332,Kiante Tripp,276,10/7/1987,Georgia
00-0028335,Ryan Winterswyk,258,2/10/1987,Boise State
00-0028442,Ricardo Lockette,211,5/21/1986,Fort Valley State
00-0028337,Kyle Adams,255,1/19/1988,Purdue
00-0028336,Youri Yenga,231,11/11/1988,Southern Methodist
00-0028339,Mario Addison,260,9/6/1987,Troy
00-0028338,Kris Adams,194,9/4/1987,Texas-El Paso
00-0028448,Rickey Thenarse,210,8/2/1988,Nebraska
00-0029314,Trevin Wade,190,8/1/1989,Arizona
00-0029315,Brad Smelley,235,4/20/1989,Alabama
00-0029316,Kelvin Beachum,308,6/8/1989,Southern Methodist
00-0029317,Edwin Baker,210,6/1/1991,Michigan State
00-0029310,Cam Johnson,268,5/24/1990,Virginia
00-0029311,Junior Hemingway,225,12/27/1988,Michigan
00-0024805,Corey Mace,287,12/22/1985,Wyoming
00-0029318,John Potter,219,1/24/1990,Western Michigan
00-0029319,Josh Bellamy,208,5/18/1989,Louisville
00-0020494,Santana Moss,193,6/1/1979,Miami (Fla.)
00-0020495,Nate Clements,205,12/12/1979,Ohio State
00-0020491,Damione Lewis,301,3/1/1978,Miami (Fla.)
00-0020492,Marcus Stroud,310,6/25/1978,Georgia
00-0020498,Reggie Wayne,203,11/17/1978,Miami (Fla.)
00-0020499,Ken Lucas,205,1/23/1979,Mississippi
00-0028029,Akeem Dent,250,9/27/1987,Georgia
00-0026660,Ty Steinkuhler,280,9/11/1985,Nebraska
00-0026662,Jamaal Westerman,257,2/21/1985,Rutgers
00-0026665,John Matthews,200,7/19/1986,San Diego
00-0011958,Lorenzo Neal,255,12/27/1970,Fresno State
00-0026667,Tom Pestock,317,9/13/1984,Northwest Missouri State
00-0026666,Brett McDermott,201,9/21/1986,Holy Cross
00-0026669,Colin Cloherty,252,9/16/1987,Brown
00-0029178,Eric Guthrie,245,2/10/1989,Iowa
00-0029179,Jermarcus Hardrick,320,5/30/1990,Nebraska
00-0026407,Jameel McClain,245,7/25/1985,Syracuse
00-0026403,Piotr Czech,210,8/17/1986,Wagner
00-0026402,Patrick Carter,215,2/6/1985,Louisville
00-0029170,Jose Gumbs,210,4/20/1988,Monmouth (N.J.)
00-0029171,Kevin Hardy,182,4/27/1990,The Citadel
00-0029172,Aderious Simmons,310,2/22/1987,Arizona State
00-0029173,Aaron Tevis,234,12/4/1988,Boise State
00-0029174,Johnny Thomas,205,10/24/1989,Oklahoma State
00-0026408,Joe Reitz,325,8/24/1985,Western Michigan
00-0029177,Sean Baker,209,11/6/1988,Ball State
00-0033635,Isaiah Irving,254,6/9/1994,San Jose State
00-0033636,Dieugot Joseph,302,3/21/1994,Florida International
00-0033637,Mitchell Kirsch,308,11/2/1994,James Madison
00-0033631,Rashaad Coward,320,11/6/1994,Old Dominion
00-0033632,Hendrick Ekpe,253,6/30/1995,Minnesota
00-0033633,Tanner Gentry,210,12/18/1994,Wyoming
00-0033638,Alex Scearce,236,6/3/1994,Coastal Carolina
00-0033639,Jhajuan Seales,205,11/26/1993,Oklahoma State
00-0023047,Alfred Malone,312,2/21/1982,Troy
00-0027208,Dominique Daniels,190,6/20/1988,Nicholls State
00-0027209,Antonio Coleman,254,9/1/1986,Auburn
00-0027758,Riley Cooper,230,9/9/1987,Florida
00-0027759,Larry Asante,210,3/7/1988,Nebraska
00-0027752,Austen Lane,265,11/9/1987,Murray State
00-0027753,Andrew Quarless,252,10/6/1988,Penn State
00-0027202,Michael Palmer,252,1/18/1988,Clemson
00-0027751,Otis Hudson,330,7/19/1986,Eastern Illinois
00-0027204,Emmanuel Stephens,255,2/17/1987,Mississippi
00-0027205,Ryan Wolfe,210,11/23/1986,Nevada-Las Vegas
00-0027206,Bear Woods,245,1/22/1987,Troy
00-0027755,David Reed,190,3/22/1987,Utah
00-0020969,Brandon Moore,305,6/3/1980,Illinois
00-0020962,Rob Bironas,208,1/29/1978,Georgia Southern
00-0029859,Brett Baer,194,1/30/1990,Louisiana-Lafayette
00-0026658,Zach Potter,269,5/4/1986,Nebraska
00-0023439,Cedric Benson,227,12/28/1982,Texas
00-0023438,Braylon Edwards,214,2/21/1983,Michigan
00-0031469,Shamari Benton,231,5/9/1991,Central Michigan
00-0031468,Tom Hornsey,210,2/17/1989,Memphis
00-0031467,T.J. Fatinikun,250,7/28/1991,Toledo
00-0031466,Sam Miller,190,7/20/1992,Florida International
00-0031465,Kevin Goessling,210,4/22/1987,Fresno State
00-0031464,Mike Dobson,191,6/24/1991,East Carolina
00-0023437,Ronnie Brown,223,12/12/1981,Auburn
00-0023436,Alex Smith,217,5/7/1984,Utah
00-0031461,Ryne Giddins,253,7/16/1990,South Florida
00-0031460,Thomas Wolfe,193,10/24/1988,Fort Valley State
00-0027983,Rahim Moore,195,2/11/1990,UCLA
00-0027982,Titus Young,174,8/21/1989,Boise State
00-0032273,Jude Adjei-Barimah,200,7/21/1992,Bowling Green State
00-0032272,Isaiah Battle,290,2/10/1993,Clemson
00-0032271,D'Joun Smith,193,9/23/1992,Florida Atlantic
00-0032270,A.J. Cruz,195,2/20/1991,Brown
